mnis_id,name,party,constituency,adhoc_earnings,adhoc_hours,ongoing_earnings,ongoing_hours,total_earnings,total_hours,summary
5157,Susan Murray,Liberal Democrat,Mid Dunbartonshire,0.0,0.0,7947.76,402.1,7947.76,402.1,£8k from 1 ongoing role (East Dunbartonshire Council).
5134,Andy MacNae,Labour,Rossendale and Darwen,0.0,0.0,7715.71,4.6,7715.71,4.6,£8k from 2 ongoing roles (Venture Xtreme Consultancy Limited).
5192,Helena Dollimore,Labour (Co-op),Hastings and Rye,7588.42,0.0,0.0,0.0,7588.42,0.0,£8k from 1 ad hoc payment (Unilever UK).
5155,Chris Kane,Labour,Stirling and Strathallan,0.0,0.0,7093.43,227.0,7093.43,227.0,£7k from 2 ongoing roles (Stirling Council and Loch Lomond and the Trossachs National Park).
4040,Chris Evans,Labour (Co-op),Caerphilly,7063.06,100.0,0.0,0.0,7063.06,100.0,£7k from 4 ad hoc payments (David Luxton Associates Ltd and David Luxton).
4595,Gareth Snell,Labour (Co-op),Stoke-on-Trent Central,7000.0,0.0,0.0,0.0,7000.0,0.0,£7k from 1 ad hoc payment (Clayduck Ltd).
5136,Imogen Walker,Labour,Hamilton and Clyde Valley,6800.0,0.0,0.0,0.0,6800.0,0.0,£7k from 1 ad hoc payment (Sandwell Metropolitan Borough Council).
5175,Mr Alex Barros-Curtis,Labour,Cardiff West,6652.98,48.0,0.0,0.0,6652.98,48.0,£7k from 1 ad hoc payment (The Labour Party).
5333,Lucy Rigby,Labour,Northampton North,6477.81,0.0,0.0,0.0,6477.81,0.0,£6k from 1 ad hoc payment (Hausfeld & Co LLP).
5030,Dr Simon Opher,Labour,Stroud,6250.0,94.5,0.0,0.0,6250.0,94.5,£6k from 6 ad hoc payments (NHS and Mail on Sunday).
5350,Ben Maguire,Liberal Democrat,North Cornwall,0.0,0.0,5834.25,123.1,5834.25,123.1,£6k from 1 ongoing role (Intel Corporation (UK) Ltd).
