mnis_id,employer,role,nature_of_business,address,row_type,date_display,earnings,hours,rate_display,sort_date
5146,Gedling Borough Council,Borough Councillor & Deputy Leader of the Council (Deputy Leader up to 14 October 2024),,"Civic Centre, Arnot Hill Park, Arnold, Nottingham NG5 6LU",ongoing,17 Jul 2024 – 25 Sep 2024,3377.02,299.8,"£17,621/yearly · 30h/weekly (this is a combined allowance for the roles of Gedling Bor...)",2024-07-17
5146,Nottinghamshire & City of Nottingham Fire Authority,Chair & Member of the Authority,,"Nottinghamshire Fire and Rescue Service Joint Headquarters, Sherwood Lodge, Arnold, Nottingham NG5 8PP",ongoing,17 Jul 2024 – 27 Sep 2024,5880.48,308.3,"£29,831/yearly · 30h/weekly (total combined allowance for the roles of Chair and Membe...)",2024-07-17
5146,Local Government Information Unit,Chair of Board of Trustees,Local government (not-for-profit) membership organisation.,"251-255 Pentonville Road, London N1 9NG",ongoing,17 Jul 2024 – 15 Oct 2024,1971.25,64.2,"£8,000/yearly · 5h/weekly (Honorarium paid for the role of Chair of the LGiU Board a...)",2024-07-17
5149,Advance Housing and Support,Service Improvement Manager,Housing Association,"Witan Way, Witney, Oxfordshire",adhoc,30 Jul 2024,907.22,0.0,,2024-07-30
5149,Leicestershire County Council,County Councillor,,"County Hall, Glenfield LE3 8HA",ongoing,17 Jul 2024 – 31 Jul 2024,666.67,18.4,"£1,449/monthly · 40h/monthly (Allowance for being a County Councillor)",2024-07-17
5151,Stoke-on-Trent City Council,City Councillor,,"Civic Centre, Glebe Street, ST4 1HH",ongoing,17 Jul 2024 – ongoing,20172.48,1210.3,"£1,000/monthly · 60h/monthly (The payment will be ceased from August onwards; I am also...)",2024-07-17
5154,Warrington Borough Council,Councillor,Council,"Warrington Borough Council, Sankey Street, Warrington",adhoc,13 Sep 2024,1688.69,0.0,,2024-09-13
5154,IPSA,Office Manager for Member of Parliament,,"2nd floor, 65 Strand, London, WC2R 0DW",adhoc,31 Jul 2024,776.92,38.0,,2024-07-31
5155,Loch Lomond and the Trossachs National Park,Board Member,,"Carrochan Road, Balloch G63 8EG",ongoing,17 Jul 2024 – 21 Aug 2024,764.76,30.0,£665/monthly · 6h/weekly,2024-07-17
5155,Stirling Council,Local Authority Councillor,local authority,"Pitt Terrace, Stirling FK82EJ",ongoing,17 Jul 2024 – 24 Sep 2024,6328.66,197.0,"£2,792/monthly · 20h/weekly",2024-07-17
5157,East Dunbartonshire Council,Elected Member of East Dunbartonshire Council,I have now resigned as an elected member of East Dunbartonshire Council,"Southbank Marina, 12 Strathkelvin Place, Kirkintilloch, Glasgow, G66 1TJ",ongoing,5 May 2017 – 30 Nov 2024,7947.76,402.1,"£21,345/yearly · 90h/monthly",2017-05-05
